BillID,KnessetNum,FactionID,FactionName,CoalitionStatus
2235351,25,,,
2235207,25,,,
2235206,25,,,
2234796,25,,,
2234545,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2234536,25,,,
2234528,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2234522,25,1102.0,יש עתיד,
2234518,25,1102.0,יש עתיד,
2234489,25,1098.0,המחנה הממלכתי ,
2234467,25,1100.0,העבודה,
2234459,25,1101.0,יהדות התורה,
2234453,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2234443,25,1102.0,יש עתיד,
2234442,25,1096.0,הליכוד ,
2234441,25,,,
2234440,25,1102.0,יש עתיד,
2234439,25,1102.0,יש עתיד,
2234417,25,1098.0,המחנה הממלכתי ,
2234416,25,1100.0,העבודה,
2234368,25,1104.0,ישראל ביתנו,
2234347,25,1099.0,"רע""ם",
2234346,25,1100.0,העבודה,
2234323,25,1098.0,המחנה הממלכתי ,
2234320,25,1098.0,המחנה הממלכתי ,
2234315,25,1098.0,המחנה הממלכתי ,
2234310,25,1098.0,המחנה הממלכתי ,
2234308,25,1098.0,המחנה הממלכתי ,
2234302,25,1098.0,המחנה הממלכתי ,
2234283,25,,,
2234269,25,,,
2234244,25,1100.0,העבודה,
2234230,25,1100.0,העבודה,
2234228,25,1100.0,העבודה,
2234226,25,1100.0,העבודה,
2234225,25,1100.0,העבודה,
2234224,25,1100.0,העבודה,
2234221,25,1100.0,העבודה,
2234218,25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ',
2234204,25,1096.0,הליכוד ,
2234203,25,1096.0,הליכוד ,
2234201,25,1100.0,העבודה,
2234192,25,1096.0,הליכוד ,
2234184,25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ',
2234171,25,1102.0,יש עתיד,
2234153,25,1096.0,הליכוד ,
2234134,25,1102.0,יש עתיד,
2234133,25,1102.0,יש עתיד,
2234130,25,1102.0,יש עתיד,
2234126,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2234109,25,,,
2234108,25,,,
2234107,25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,
2234101,25,,,
2234093,25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ',
2234092,25,,,
2234091,25,,,
2234090,25,,,
2234088,25,,,
2234087,25,,,
2234084,25,,,
2234082,25,,,
2234081,25,,,
2234080,25,1096.0,הליכוד ,
2234079,25,,,
2234078,25,,,
2234076,25,,,
2234075,25,,,
2234073,25,,,
2234072,25,,,
2234071,25,,,
2234070,25,,,
2234069,25,,,
2234068,25,,,
2234065,25,,,
2234064,25,,,
2234063,25,,,
2234060,25,,,
2234038,25,,,
2234036,25,,,
2234035,25,,,
2234034,25,,,
2234033,25,,,
2234032,25,,,
2234031,25,,,
2234030,25,,,
2234029,25,,,
2234028,25,,,
