KnessetNum,FactionID,FactionName,CoalitionStatus,NewFactionName,DateJoinedCoalition,DateLeftCoalition
1,105,מפלגת פועלים מאוחדת,Opposition,"מפ""ם",,
1,109,מפלגת פועלי ארץ-ישראל,Coalition,"מפא""י",,
1,115,תנועת החרות,Opposition,תנועת החרות,,
1,117,ציונים כלליים,Opposition,ציונים כלליים,,
1,119,ספרדים ועדות מזרח,Coalition,ספרדים ועדות מזרח,,
1,123,מפלגה פרוגרסיבית,Coalition,מפלגה פרוגרסיבית,,
1,129,מפלגה קומוניסטית ישראלית,Opposition,"מק""י",,
1,131,חזית דתית מאוחדת,Coalition,חזית דתית מאוחדת,,
1,145,"ויצ""ו",Opposition,"ויצ""ו",,
2,147,מפלגת פועלים מאוחדת,Opposition,"מפ""ם",,
2,149,מפלגת פועלי ארץ-ישראל,Coalition,"מפא""י",,
2,153,תנועת החרות,Opposition,תנועת החרות,,
2,155,ציונים כלליים,Opposition,ציונים כלליים,1952-12-24,
2,161,מפלגה פרוגרסיבית,Opposition,מפלגה פרוגרסיבית,1952-12-24,
2,163,אחדות העבודה - פועלי ציון,Coalition,אחדות העבודה - פועלי ציון,,
2,165,פועלי אגודת ישראל,Coalition,פועלי אגודת ישראל,,
2,167,מפלגה קומוניסטית ישראלית,Opposition,"מק""י",,
2,171,אגודת ישראל,Opposition,אגודת ישראל,,
2,173,הפועל המזרחי,Coalition,הפועל המזרחי,,
3,185,מפלגת פועלים מאוחדת,Coalition,"מפ""ם",,
3,189,מפלגת פועלי ארץ-ישראל,Coalition,"מפא""י",,
3,193,תנועת החרות,Opposition,תנועת החרות,,
3,195,ציונים כלליים,Opposition,ציונים כלליים,,
3,199,מפלגה פרוגרסיבית,Coalition,מפלגה פרוגרסיבית,,
3,203,אחדות העבודה - פועלי ציון,Coalition,אחדות העבודה - פועלי ציון,,
3,205,מפלגה קומוניסטית ישראלית,Opposition,"מק""י",,
3,980,אגודת ישראל - פועלי אגודת ישראל,Opposition,אגודת ישראל - פועלי אגודת ישראל,,
3,981,מפלגה דתית לאומית,Coalition,מפלגה דתית לאומית,,
4,213,מפלגת פועלים מאוחדת,Coalition,"מפ""ם",,
4,215,אגודת ישראל,Opposition,אגודת ישראל,,
4,219,מפלגת פועלי ארץ-ישראל,Coalition,"מפא""י",,
4,221,תנועת החרות,Opposition,תנועת החרות,,
4,231,אחדות העבודה - פועלי ציון,Coalition,אחדות העבודה - פועלי ציון,,
4,235,מפלגה קומוניסטית ישראלית,Opposition,"מק""י",,
4,237,מפלגה דתית לאומית,Coalition,"מפד""ל",,
4,241,מפלגה ליברלית ישראלית,Opposition,מפלגה ליברלית ישראלית,,
5,243,מפלגת פועלים מאוחדת,Opposition,"מפ""ם",,
5,245,אגודת ישראל,Opposition,אגודת ישראל,,
5,251,מפלגת פועלי ארץ-ישראל,Coalition,"מפא""י",,
5,253,תנועת החרות,Opposition,תנועת החרות,,
5,255,גוש חרות ליברלים,Opposition,תנועת החרות,,
