committee_id,knesset_num,ministry_he,notes_he
4186,25,שר האוצר,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4187,25,השר לביטחון לאומי,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4187,25,השר לחיזוק וקידום קהילתי,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4189,25,שר הבריאות,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4190,25,ראש הממשלה,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4190,25,שר הביטחון,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4190,25,שר ההסברה,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4190,25,שר ההתיישבות והמשימות הלאומיות,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4190,25,שר החוץ,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
4190,25,שר המודיעין,מבוסס על חובת הדיווח התקופתית של השרים לוועדות כפי שנקבעה בוועדת הכנסת בתחילת כהונת הכנסת ה-25 (ישיבת 26.6.23).
