AgendaID,Number,ClassificationID,ClassificationDesc,LeadingAgendaID,KnessetNum,Name,SubTypeID,SubTypeDesc,StatusID,InitiatorPersonID,GovRecommendationID,GovRecommendationDesc,PresidentDecisionDate,PostopenmentReasonID,PostopenmentReasonDesc,CommitteeID,RecommendCommitteeID,MinisterPersonID,LastUpdatedDate
2198492,32.0,163.0,מוכללת,2199796.0,25,מדיניות חדשה של רשות המיסים שתקשה על הציבור לקבל החזרי מס ותביא לסגירת חברות טכנולוגיה העוסקות בתחום החזרי מס ,56,דיון מהיר,333,30601.0,,,2023-01-16T00:00:00,,,,4186.0,,2023-01-26T12:03:05.63
2198860,38.0,163.0,מוכללת,2199347.0,25,"הפרת פסיקת בג""ץ על ניתוקי חשמל",58,דחופה,333,30106.0,,,,,,,,,2023-01-26T12:03:05.63
2198867,44.0,163.0,מוכללת,2199347.0,25,הפרת פסיקת בג״ץ על ניתוקי חשמל,58,דחופה,333,30601.0,,,,,,,,30804.0,2023-01-26T12:03:05.63
2199266,63.0,165.0,עצמאית,,25,"הצעה לסדר היום בנושא: ""מספר תאונות העבודה שבהן נהרגו עובדים ונפצעו קשה ובינוני, היה הגבוה ביותר בארבע שנים האחרונות""",58,דחופה,304,30067.0,,,,,,4196.0,,,2023-01-26T12:03:05.63
2199289,71.0,165.0,עצמאית,,25,הסתה לטרור ברשויות המקומיות,56,דיון מהיר,310,30842.0,,,2023-01-16T00:00:00,,,4198.0,4198.0,,2023-04-19T11:32:38.777
2199347,1.0,164.0,כוללת,,25,"הצעה לסדר היום בנושא: ""הפרת פסיקת בג״ץ על ניתוקי חשמל""",60,כוללת,304,,,,,,,4193.0,,,2023-02-01T11:04:01.813
2199590,87.0,163.0,מוכללת,2199757.0,25,עלייה בשיעור העוני לפי דוח העוני והאי שוויון של הביטוח הלאומי,58,דחופה,333,30758.0,,,,,,,,,2023-01-26T12:03:05.63
2199625,89.0,163.0,מוכללת,2199757.0,25,דוח העוני של הביטוח הלאומי כולל נתונים קשים המחייבים להיחלץ למען העניים,58,דחופה,333,30868.0,,,,,,,,,2023-01-26T12:03:05.63
2199639,92.0,163.0,מוכללת,2199798.0,25,תופעת מכירת והטיית משחקי כדורגל,56,דיון מהיר,333,30820.0,,,2023-01-16T00:00:00,,,,4192.0,,2023-01-26T12:03:05.63
2199642,128.0,163.0,מוכללת,2200233.0,25,סכנה לקריסת מרכזי היום,56,דיון מהיר,333,30686.0,,,2023-01-23T00:00:00,,,,4196.0,,2023-01-26T12:03:05.63
2199649,97.0,163.0,מוכללת,2199798.0,25,מכירת והטעיית משחקי ספורט,56,דיון מהיר,333,30722.0,,,2023-01-16T00:00:00,,,,4192.0,,2023-01-26T12:03:05.63
2199656,102.0,163.0,מוכללת,2199798.0,25,תופעת מכירת והטיית משחקי כדורגל,56,דיון מהיר,333,30710.0,,,2023-01-16T00:00:00,,,,4192.0,,2023-01-26T12:03:05.63
2199674,109.0,163.0,מוכללת,2199796.0,25,: מדיניות חדשה של רשות המיסים שתקשה על הציבור לקבל החזרי מס ותביא לסגירת חברות טכנולוגיה העוסקות בתחום החזרי מס ,56,דיון מהיר,333,30067.0,,,2023-01-16T00:00:00,,,,4186.0,,2023-01-26T12:03:05.63
2199675,110.0,163.0,מוכללת,2199796.0,25,מדיניות חדשה של רשות המיסים שתקשה על הציבור לקבל החזרי מס ותביא לסגירת חברות טכנולוגיה העוסקות בתחום החזרי מס ,56,דיון מהיר,333,30758.0,,,2023-01-16T00:00:00,,,,4186.0,,2023-01-26T12:03:05.63
2199690,116.0,163.0,מוכללת,2199796.0,25,מדיניות חדשה של רשות המיסים שתקשה על הציבור לקבל החזרי מס ותביא לסגירת חברות טכנולוגיה העוסקות בתחום החזרי מס,56,דיון מהיר,333,30705.0,,,2023-01-16T00:00:00,,,,4186.0,,2023-01-26T12:03:05.63
2199692,117.0,163.0,מוכללת,2199796.0,25,מדיניות חדשה של רשות המסים תקשה על ציבור השכירים לקבל החזרי מס,56,דיון מהיר,333,23641.0,,,2023-01-16T00:00:00,,,,4186.0,,2023-01-26T12:03:05.63
2199695,118.0,163.0,מוכללת,2199757.0,25,"דו""ח העוני של הביטוח הלאומי- זינוק בשיעור הקשישים והילדים העניים",58,דחופה,333,23641.0,,,,,,,,,2023-01-26T12:03:05.63
2199716,121.0,165.0,עצמאית,,25,"הצעה לסדר היום בנושא: ""עליית מחירי הנדלן""",58,דחופה,304,30480.0,,,,,,4186.0,,,2023-01-31T09:55:04.903
2199736,125.0,163.0,מוכללת,2199757.0,25,דוח העוני של הביטוח הלאומי- יותר מחמישית מאזרחי המדינה מתחת לקוו העוני,58,דחופה,333,30066.0,,,,,,,,,2023-01-26T12:03:05.63
2199755,129.0,163.0,מוכללת,2199757.0,25,"דו""ח העוני של המוסד לביטוח לאומי",58,דחופה,333,30694.0,,,,,,,,,2023-01-26T12:03:05.63
2199757,2.0,164.0,כוללת,,25,"הצעה לסדר היום בנושא: ""דו""ח ממדי העוני של המוסד לביטוח לאומי""",60,כוללת,304,,,,,,,4196.0,,,2023-02-01T09:59:15.86
2199796,3.0,166.0,כוללת לדיון מהיר,,25,"הצעה לדיון מהיר בנושא: ""מדיניות חדשה של רשות המיסים שתקשה על הציבור לקבל החזרי מס ותביא לסגירת חברות טכנולוגיה העוסקות בתחום החזרי מס""",60,כוללת,310,,,,,,,4186.0,4186.0,,2023-02-07T14:54:34.573
2199798,4.0,166.0,כוללת לדיון מהיר,,25,"הצעה לדיון מהיר בנושא: ""מכירת והטיית משחקי ספורט""",60,כוללת,310,,,,,,,4192.0,4192.0,,2023-03-14T09:36:30.273
2199851,140.0,163.0,מוכללת,2200236.0,25,"החלטת הות""ת לסגור את התוכנית האמרקאית ללימודי רפואה ",56,דיון מהיר,333,30776.0,,,2023-01-23T00:00:00,,,,4197.0,,2023-01-26T12:03:05.63
2199858,139.0,163.0,מוכללת,2200233.0,25,סכנה לקריסת מרכזי היום,56,דיון מהיר,333,30694.0,,,2023-01-23T00:00:00,,,,4196.0,,2023-01-26T12:03:05.63
2199865,141.0,163.0,מוכללת,2200236.0,25,החלטת ועדת התקציב והתכנון לסגור את התוכנית האמרקאית ללימודי רפואה,56,דיון מהיר,333,30830.0,,,2023-01-23T00:00:00,,,,4197.0,,2023-01-26T12:03:05.63
2199978,145.0,163.0,מוכללת,2200236.0,25,"החלטת הות""ת לסגור את התכניות האמריקאיות ללימודי רפואה פוגעת בנכס אסטרטגי לאומי",56,דיון מהיר,333,30839.0,,,2023-01-23T00:00:00,,,,4197.0,,2023-01-26T12:03:05.63
2200005,152.0,165.0,עצמאית,,25,הטיה פוליטית וסתימת פיות באקדמיה,56,דיון מהיר,310,30710.0,,,2023-01-23T00:00:00,,,4192.0,4192.0,,2023-03-14T09:39:17.123
2200073,154.0,165.0,עצמאית,,25,"קביעת ועדה לדיון בהצעה לסדר היום בנושא: ""נהלי חקירה משטרתית באירועי הגנה עצמית"", של חה""כ עמית הלוי (154).",58,דחופה,310,30711.0,,,,,,4187.0,,,2023-06-06T09:30:58.017
2200099,165.0,163.0,מוכללת,2200219.0,25,הזנחה מתמשכת של דירות הדיור הציבורי על ידי עמידר ותנאי המחיה של דיירי הדיור הציבורי,58,דחופה,333,30682.0,,,,,,,,,2023-01-26T12:03:05.63
2200101,166.0,163.0,מוכללת,2200219.0,25,הזנחה מתמשכת של דירות הדיור הציבורי על ידי עמידר ותנאי המחיה של דיירי הדיור הציבורי,58,דחופה,333,30868.0,,,,,,,,,2023-01-26T12:03:05.63
2200103,168.0,163.0,מוכללת,2200233.0,25,מרכזי היום לקשישים בסכנת קריסה,56,דיון מהיר,333,560.0,,,2023-01-23T00:00:00,,,,4196.0,,2023-01-26T12:03:05.63
2200106,171.0,163.0,מוכללת,2200219.0,25,הזנחה מתמשכת של דירות הדיור הציבורי על ידי עמידר ותנאי המחיה של דיירי הדיור הציבורי,58,דחופה,333,30783.0,,,,,,,,,2023-01-26T12:03:05.63
2200121,181.0,163.0,מוכללת,2200219.0,25,הזנחה מתמשכת של דירות הדיור הציבורי על ידי עמידר ותנאי המחיה של דיירי הדיור הציבורי,58,דחופה,333,30758.0,,,,,,,,,2023-01-26T12:03:05.63
2200140,184.0,163.0,מוכללת,2200221.0,25,תקיפת הצוותים הרפואיים בבתי החולים,58,דחופה,333,30480.0,,,,,,,,,2023-01-26T12:03:05.63
2200150,186.0,165.0,עצמאית,,25,"הצעה לדיון מהיר בנושא: ""מצוקת כוח האדם בגני הילדים""",56,דיון מהיר,310,30780.0,,,2023-01-30T00:00:00,,,4192.0,4192.0,,2023-03-14T09:42:36.393
2200187,191.0,163.0,מוכללת,2200219.0,25,הזנחה מתמשכת של דירות הדיור הציבורי על ידי עמידר ותנאי המחיה של דיירי הדיור הציבורי,58,דחופה,333,30106.0,,,,,,,,,2023-01-26T12:03:05.63
2200194,193.0,163.0,מוכללת,2200221.0,25,מערכת הבריאות בשביתה בעקבות תקיפות אלימות של צוותי הרפואה ,58,דחופה,333,560.0,,,,,,,,,2023-01-26T12:03:05.63
2200219,5.0,164.0,כוללת,,25,"הצעה לסדר היום בנושא: ""הזנחה מתמדת של דירות הדיור הציבורי על ידי עמידר ותנאי המחייה של דיירי הדיור הציבורי""",60,כוללת,304,,,,,,,4198.0,,,2023-02-02T09:48:16.993
2200221,6.0,164.0,כוללת,,25,"הצעה לסדר היום בנושא: ""תקיפת הצוותים הרפואיים בבתי החולים""",60,כוללת,304,,,,,,,4189.0,,,2023-02-08T14:18:32.147
2200233,7.0,166.0,כוללת לדיון מהיר,,25,"הצעה לדיון מהיר בנושא: ""מרכזי היום לקשישים בסכנת קריסה""",60,כוללת,310,,,,,,,4196.0,4196.0,,2024-11-06T11:39:19.717
2200236,8.0,166.0,כוללת לדיון מהיר,,25,"הצעה לדיון מהיר בנושא: ""החלטת הוועדה לתכנון ולתקצוב לסגור את התוכנית האמריקאית ללימודי רפואה""",60,כוללת,310,,,,,,,4197.0,4197.0,,2023-03-19T23:13:11.997
2200400,206.0,163.0,מוכללת,2200689.0,25,משבר גיוס חיילי המילואים וההוקרה הראויה להם,58,דחופה,333,30777.0,,,,,,,,,2023-01-30T12:39:30.327
2200419,209.0,165.0,עצמאית,,25,משבר גיוס חיילי המילואים וההוקרה הראויה להם,58,דחופה,333,30662.0,,,,,,,,,2023-02-02T09:52:13.207
2200442,211.0,163.0,מוכללת,2200691.0,25,טיפול ביוקר המחיה ובלימת ההתייקרויות במשק,58,דחופה,333,30082.0,,,,,,,,,2023-01-30T12:40:37.157
2200499,214.0,163.0,מוכללת,2200689.0,25,משבר גיוס חיילי המילואים וההוקרה הראויה להם,58,דחופה,333,30852.0,,,,,,,,,2023-01-30T12:39:30.327
2200508,215.0,163.0,מוכללת,2200689.0,25,משבר גיוס חיילי המילואים וההוקרה הראויה להם,58,דחופה,333,30863.0,,,,,,,,,2023-01-30T12:39:30.313
2200578,226.0,163.0,מוכללת,2200697.0,25,"הצעה לדיון מהיר בוועדת חו״ב – הרחבת קיזוז כספי מהרש״פ, בגין טרור, הסתה ודה-לגיטימציה נגד ישראל",56,דיון מהיר,333,30711.0,,,2023-01-30T00:00:00,,,,4190.0,,2023-01-30T13:51:44.007
2200585,229.0,163.0,מוכללת,2200697.0,25,"הרחבת קיזוז כספי מהרש״פ, בגין טרור, הסתה ודה-לגיטימציה נגד ישראל",56,דיון מהיר,333,30722.0,,,2023-01-30T00:00:00,,,,4190.0,,2023-01-30T13:51:43.99
2200589,230.0,163.0,מוכללת,2200697.0,25,"הרחבת קיזוז כספי מהרש״פ, בגין טרור, הסתה ודה-לגיטימציה נגד ישראל",56,דיון מהיר,333,1057.0,,,2023-01-30T00:00:00,,,,4190.0,,2023-01-30T13:51:43.99
