QueryID,Number,KnessetNum,Name,TypeID,TypeDesc,StatusID,PersonID,GovMinistryID,SubmitDate,ReplyMinisterDate,LastUpdatedDate
2198600,15.0,25,פעילותם של ארגוני טרור לאחר שהוצאו מחוץ לחוק,48,רגילה,6,30820,1177,2023-01-12T13:14:12.6626342,,2023-01-12T13:14:13.117
2198871,1.0,25,"קיום הבטחות רה""מ לאזרחי ישראל בנוגע להקפאת מחוללי האינפלציה",48,רגילה,9,30780,568,2023-01-10T16:21:52.858,2023-08-29T00:00:00,2023-09-04T13:33:56.477
2198874,1.0,25,זכויות רכישה - דיירי הדיור הציבורי,50,דחופה,9,30719,1146,2023-01-09T12:54:25.989,2023-01-11T00:00:00,2023-01-11T13:08:23.63
2198877,2.0,25,עידוד כניסה להייטק לחברה הערבית ,48,רגילה,6,560,1067,2023-01-10T00:00:00,,2024-04-14T13:32:33.957
2199071,5.0,25,פינוי פסולת מהישובים הבדואים הבלתי מוכרים בנגב,48,רגילה,9,30840,1332,2023-01-11T14:07:52.603,2023-05-31T00:00:00,2023-06-06T22:42:23.773
2199103,8.0,25,הסעות תלמידים מהכפרים הלא מוכרים לבתי ספר בחורף ,48,רגילה,9,30840,686,2023-02-07T10:59:05.276,2024-04-17T00:00:00,2024-05-21T18:16:54.893
2199105,9.0,25,הקמת מרכזי נוער בכפרים הלא מוכרים,48,רגילה,9,30840,1004,2023-01-12T12:36:36.994,2024-01-30T00:00:00,2024-02-04T15:13:10.267
2199113,11.0,25,"יחידת הפיקוח על הצומח והחי (פיצו""ח)",48,רגילה,9,30840,967,2023-01-12T12:51:15.199,2023-02-15T00:00:00,2023-02-15T21:03:46.66
2199120,13.0,25,גידול גמלים כענף חקלאי,48,רגילה,9,30840,967,2023-01-12T12:59:57.481,2023-02-15T00:00:00,2023-02-15T21:03:26.373
2199125,65.0,25,איום במתקפת סייבר על מצלמות במרחב הציבורי,48,רגילה,9,30820,568,2023-02-02T08:42:38.797,2023-09-03T00:00:00,2023-09-04T13:30:15.657
2199138,51.0,25,משנת השר להקמת מדינה פלסטינית בירדן,48,רגילה,6,30066,1042,2023-02-07T15:04:17.1843909,,2023-02-07T15:04:17.653
2199254,19.0,25,רצח הנער עיסא אלטלקאת בערערה,48,רגילה,9,30840,875,2023-05-03T17:46:08.684,2023-06-22T00:00:00,2023-06-28T13:38:40.02
