KnessetNum,FactionID,FactionName,CoalitionStatus
25,1096.0,הליכוד ,Coalition
25,1098.0,המחנה הממלכתי ,Opposition
25,1100.0,העבודה,Opposition
25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ',Coalition
25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",Coalition
25,1103.0,"חד""ש-תע""ל",Opposition
25,1109.0,"חה""כ עידן רול",Coalition
25,1102.0,יש עתיד,Opposition
25,1104.0,ישראל ביתנו,Opposition
25,1106.0,עוצמה יהודית בראשות איתמר בן גביר,Coalition
25,1099.0,"רע""ם",Opposition
24,1083.0,אגודת ישראל,
24,1082.0,דגל התורה,
24,1087.0,דרך ארץ,
24,962.0,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,
24,963.0,העבודה,
24,961.0,הציונות הדתית,
24,1089.0,"הרשימה המשותפת (חד""ש, בל""ד)",
24,973.0,הרשימה הערבית המאוחדת,
24,1090.0,"התנועה הערבית להתחדשות (תע""ל)",
24,1091.0,ימינה,
24,967.0,יש עתיד,
24,968.0,ישראל ביתנו,
24,969.0,כחול לבן,
24,970.0,מרצ,
24,1084.0,"נעם - בראשות חה""כ אבי מעוז",
24,1081.0,עוצמה יהודית,
24,971.0,"ש""ס",
24,1088.0,תקווה חדשה - אחדות לישראל,
23,1071.0,אגודת ישראל,
23,957.0,גשר,
23,1072.0,דגל התורה,
23,1073.0,האיחוד הלאומי,
23,942.0,הליכוד,
23,958.0,העבודה הישראלית,
23,1074.0,הרשימה המשותפת,
23,944.0,יהדות התורה והשבת אגודת ישראל - דגל התורה,
23,948.0,ימינה,
23,950.0,יש עתיד,
23,955.0,"יש עתיד - תל""ם",
23,945.0,ישראל ביתנו בראשות אביגדור ליברמן,
23,946.0,כחול לבן,
23,959.0,מרצ,
23,1075.0,"רע""מ – רשימת האיחוד הערבי",
23,947.0,"ש""ס",
23,951.0,"תל""ם - תנועה לאומית ממלכתית",
23,1076.0,"תע""ל – התנועה הערבית להתחדשות",
22,1069.0,"רע""מ - רשימת האיחוד הערבי",
22,1070.0,"תע""ל - התנועה הערבית לשינוי",
21,926.0,מרצ,
20,1056.0,אגודת ישראל,
20,1055.0,דגל התורה,
20,907.0,הבית היהודי בראשות נפתלי בנט,
20,916.0,הימין החדש,
20,882.0,הליכוד,
20,902.0,המחנה הציוני,
20,914.0,העבודה הישראלית,
20,903.0,"הרשימה המשותפת (חד""ש, רע""ם, בל""ד ותע""ל)",
20,915.0,התנועה,
20,913.0,"חה""כ אורלי לוי-אבקסיס",
20,904.0,יש עתיד,
20,905.0,ישראל ביתנו,
20,906.0,כולנו בראשות משה כחלון,
20,909.0,מרצ,
20,910.0,"ש""ס",
20,1057.0,"תע""ל – בראשות אחמד טיבי",
19,802.0,"בל""ד - אלתג'מוע אלווטני אלדמוקרטי",
19,803.0,"הבית היהודי מייסודם של האיחוד הלאומי והמפד""ל החדשה",
19,804.0,הליכוד - ישראל ביתנו ,
19,842.0,הליכוד - תנועה לאומית ליברלית,
19,805.0,העבודה בראשות שלי יחימוביץ',
19,813.0,התנועה בראשות ציפי לבני,
19,806.0,"חד""ש - החזית הדמוקרטית לשלום ושוויון",
19,807.0,"יהדות התורה והשבת, אגודת ישראל - דגל התורה",
19,812.0,יש עתיד בראשות יאיר לפיד,
19,843.0,ישראל ביתנו,
19,808.0,מרצ - השמאל של ישראל,
19,809.0,קדימה בראשות שאול מופז,
19,1053.0,"רע""מ - רשימת האיחוד הערבי",
19,811.0,שס התאחדות הספרדים העולמית שומרי תורה,
19,1054.0,"תע""ל - התנועה הערבית להתחדשות",
18,742.0,איחוד לאומי,
18,744.0,"אלתג'מוע אלווטני אלדמוקרטי - בל""ד",
18,743.0,"הבית היהודי - מפד""ל החדשה",
18,748.0,"הליכוד - אח""י בהנהגת בנימין נתניהו לראשות הממשלה",
18,750.0,העבודה,
18,1047.0,העבודה בראשות אהוד ברק,
18,762.0,העצמאות,
18,752.0,הרשימה הערבית המאוחדת - התנועה הערבית להתחדשות,
18,753.0,התאחדות הספרדים העולמית שומרי תורה,
18,1048.0,התנועה בראשות ציפי לבני,
18,749.0,התנועה החדשה מרצ,
18,1049.0,"חה""כ חיים אמסלם",
18,745.0,חזית דמוקרטית לשלום ושוויון,
18,746.0,יהדות התורה והשבת אגודת ישראל - דגל התורה,
18,747.0,ישראל ביתנו בראשות אביגדור ליברמן,
18,1050.0,"מד""ע - מפלגה דמוקרטית ערבית",
18,1051.0,עוצמה לישראל,
18,751.0,קדימה - עם ציפי לבני לראשות הממשלה,
17,1039.0,אגודת ישראל,
17,1040.0,"אח""י - ארץ, חברה, יהדות",
17,626.0,"אלתג'מוע אלווטני אל דימוקרטי-בל""ד",
17,634.0,גיל-גימלאי ישראל לכנסת,
17,1041.0,דגל התורה,
17,1042.0,"הבית היהודי מיסודם של המפד""ל",
17,722.0,הדרך הטובה,
17,690.0,הליכוד עם בנימין נתניהו לראשות הממשלה,
17,1044.0,העבודה בראשות אהוד ברק,
17,624.0,העבודה-מימד בראשות עמיר פרץ,
17,636.0,הרשימה הערבית המאוחדת התנועה הערבית להתחדשות,
17,630.0,חזית דמוקרטית לשלום ושוויון,
17,632.0,יהדות התורה והשבת אגודת ישראל-דגל התורה,
17,638.0,ישראל ביתנו בראשות אביגדור ליברמן,
17,1045.0,מולדת האיחוד הלאומי,
17,1046.0,מימד,
17,640.0,מרצ-ישראל חברתית דמוקרטית,
17,622.0,קדימה-עם אהוד אולמרט לראשות הממשלה,
17,628.0,"ש""ס-התאחדות הספרדים העולמית שומרי תורה",
16,424.0,אגודת ישראל,
16,542.0,אחריות לאומית,
16,51.0,"בל""ד (ברית לאומית דמוקרטית)",
16,422.0,דגל התורה,
16,45.0,האיחוד הלאומי - ישראל ביתנו - מולדת - תקומה,
16,584.0,האיחוד הלאומי - מולדת - תקומה,
16,586.0,הבית הלאומי,
16,604.0,החזית הדמוקרטית לשלום ולשוויון,
16,24.0,הליכוד,
16,564.0,הסיעה החילונית,
16,502.0,העבודה - מימד - עם אחד,
16,42.0,העבודה-מימד בראשות מצנע,
16,52.0,הרשימה הערבית המאוחדת,
16,44.0,התאחדות הספרדים העולמית שומרי תורה,
16,582.0,"חה""כ מיכאל נודלמן",
16,590.0,ישראל ביתנו,
16,49.0,מפלגה דתית לאומית,
16,522.0,מרצ - יחד והבחירה הדמוקרטית,
16,444.0,ציונות לאומית דתית מתחדשת,
16,462.0,"צל""ש - ציונות ליברליות שוויון",
16,562.0,קדימה,
16,1078.0,שינוי,
16,602.0,תנועה ערבית להתחדשות,
15,687.0,אחדות לאומית - הברית הלאומית המתקדמת,
15,20.0,"בל""ד",
15,12.0,גשר,
15,13.0,דרך חדשה,
15,679.0,האיחוד הלאומי,
15,7.0,האיחוד הלאומי - ישראל ביתנו,
15,4.0,הליכוד,
15,23.0,העבודה - מימד,
15,22.0,התנועה הערבית להתחדשות,
15,14.0,"חד""ש",
15,21.0,חרות - התנועה הלאומית,
