KnessetNum,FactionID,FactionName
25,1108.0,הימין הממלכתי 
25,1096.0,הליכוד 
25,1098.0,המחנה הממלכתי 
25,1100.0,העבודה
25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ'
25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל"
25,1103.0,"חד""ש-תע""ל"
25,1109.0,"חה""כ עידן רול"
25,1101.0,יהדות התורה
25,1102.0,יש עתיד
25,1104.0,ישראל ביתנו
25,1107.0,נעם - בראשות אבי מעוז
25,1106.0,עוצמה יהודית בראשות איתמר בן גביר
25,1099.0,"רע""ם"
24,1083.0,אגודת ישראל
24,1082.0,דגל התורה
24,1087.0,דרך ארץ
24,962.0,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
24,1085.0,המחנה הממלכתי
24,963.0,העבודה
24,961.0,הציונות הדתית
24,1089.0,"הרשימה המשותפת (חד""ש, בל""ד)"
24,973.0,הרשימה הערבית המאוחדת
24,1090.0,"התנועה הערבית להתחדשות (תע""ל)"
24,1080.0,"חה""כ עמיחי שיקלי"
24,1092.0,חופש כלכלי
24,965.0,יהדות התורה והשבת - אגודת ישראל דגל התורה
24,1091.0,ימינה
24,966.0,ימינה בראשות נפתלי בנט
24,967.0,יש עתיד
24,968.0,ישראל ביתנו
24,969.0,כחול לבן
24,970.0,מרצ
24,1084.0,"נעם - בראשות חה""כ אבי מעוז"
24,1081.0,עוצמה יהודית
24,974.0,עתיד אחד
24,971.0,"ש""ס"
24,972.0,תקווה חדשה
24,1088.0,תקווה חדשה - אחדות לישראל
23,1071.0,אגודת ישראל
23,957.0,גשר
23,1072.0,דגל התורה
23,954.0,דרך ארץ
23,1073.0,האיחוד הלאומי
23,942.0,הליכוד
23,958.0,העבודה הישראלית
23,1074.0,הרשימה המשותפת
23,952.0,"חה""כ ע'דיר כמאל מריח"
23,944.0,יהדות התורה והשבת אגודת ישראל - דגל התורה
23,948.0,ימינה
23,950.0,יש עתיד
23,955.0,"יש עתיד - תל""ם"
